Fold	SubFold	SentID	Order	Word	Segmentation	POS
2	B	1	1	0.7	0.7	NUM
2	B	1	2	ديال	ديال	PREP
2	B	1	3	المغربيات	ال+مغربي+ات	DET+NOUN+NSUFF
2	B	1	4	لي	لي	PART
2	B	1	5	خدامات	خدام+ات	V+PRON
2	B	1	6	ماعندهومش	ما+عند+هوم+ش	PART+NOUN+PRON+NEG_PART
2	B	1	7	الديبلومات	ال+ديبلوم+ات	DET+NOUN+NSUFF
2	B	1	8	EOS	EOS	EOS
3	B	2	1	أخر	أخر	NOUN
3	B	2	2	موسم	موسم	NOUN
3	B	2	3	رح	رح	PART
3	B	2	4	اتابعه	اتابع+ه	V+PRON
3	B	2	5	🔥	🔥	EMOT
3	B	2	6	💕	💕	EMOT
3	B	2	7	بكفيني	ب+كفي+ني	PROG_PART+V+PRON
3	B	2	8	حنان	حنان	NOUN
3	B	2	9	هاد	هاد	PRON
3	B	2	10	الموسم	ال+موسم	DET+NOUN
3	B	2	11	❤	❤	EMOT
3	B	2	12	وايلي	وايلي	PART
3	B	2	13	ايليا	ايليا	NOUN
3	B	2	14	الموسم	ال+موسم	DET+NOUN
3	B	2	15	اللي	اللي	PART
3	B	2	16	فات	فات	V
3	B	2	17	💕	💕	EMOT
3	B	2	18	عدم	عدم	NOUN
3	B	2	19	المصداقية	ال+مصداقي+ة	DET+NOUN+NSUFF
3	B	2	20	والمسخرة	و+ال+مسخر+ة	CONJ+DET+NOUN+NSUFF
3	B	2	21	😂	😂	EMOT
3	B	2	22	✋	✋	EMOT
3	B	2	23	#StaracArabia	#StaracArabia	HASH
3	B	2	24	#ha	#ha	HASH
3	B	2	25	…	…	PUNC
3	B	2	26	EOS	EOS	EOS
1	B	3	1	#كلاسيكيات_الابتدائي	#كلاسيكيات_الابتدائي	HASH
1	B	3	2	-	-	PUNC
1	B	3	3	أستاد	أستاد	NOUN
1	B	3	4	الدليمي	ال+دليمي	DET+NOUN
1	B	3	5	مات	مات	V
1	B	3	6	شكون	شكون	PART
1	B	3	7	قتلو	قتل+و	V+PRON
1	B	3	8	؟	؟	PUNC
1	B	3	9	-	-	PUNC
1	B	3	10	غدّا	غد+ا	NOUN+CASE
1	B	3	11	جيب	جيب	V
1	B	3	12	بّاك	با+ك	NOUN+PRON
1	B	3	13	عاد	عاد	PART
1	B	3	14	تدخل	تدخل	V
1	B	3	15	😒	😒	EMOT
1	B	3	16	EOS	EOS	EOS
4	B	4	1	@ZahoSghir	@ZahoSghir	MENTION
4	B	4	2	أصلا	أصل+ا	NOUN+CASE
4	B	4	3	كان	كان	V
4	B	4	4	باين	باين	ADJ
4	B	4	5	ان	ان	PART
4	B	4	6	الهجمات	ال+هجم+ات	DET+NOUN+NSUFF
4	B	4	7	غادي	غادي	PART
4	B	4	8	تاثر	تاثر	V
4	B	4	9	على	على	PREP
4	B	4	10	الانتخابات	ال+انتخاب+ات	DET+NOUN+NSUFF
4	B	4	11	والعنصرية	و+ال+عنصري+ة	CONJ+DET+NOUN+NSUFF
4	B	4	12	في	في	PREP
4	B	4	13	كل	كل	NOUN
4	B	4	14	اروبا	اروبا	NOUN
4	B	4	15	EOS	EOS	EOS
5	A	5	1	أنا	أنا	PRON
1	A	5	2	مانسيتش	ما+نسيت+ش	PART+V+NEG_PART
5	A	5	3	بلي	بلي	ADV
5	A	5	4	أنيس	أنيس	NOUN
5	A	5	5	صوت	صوت	V
5	A	5	6	ضد	ضد	NOUN
5	A	5	7	سوكا	سوكا	NOUN
5	A	5	8	وبلي	و+ب+لي	CONJ+PREP+PART
5	A	5	9	هدر	هدر	V
5	A	5	10	على	على	PREP
5	A	5	11	سوها	سوها	NOUN
5	A	5	12	مي	مي	PART
5	A	5	13	راه	را+ه	V+PRON
5	A	5	14	ولد	ولد	NOUN
5	A	5	15	مغرب	مغرب	NOUN
