Fold	SubFold	SentID	Order	Word	Segmentation	POS
2	B	1	1	قاعد	قاعد	ADJ
2	B	1	2	عم	عم	PART
2	B	1	3	حاكي	حاكي	V
2	B	1	4	حالي	حال+ي	NOUN+PRON
2	B	1	5	بالأحرى	ب+ال+أحرى	PREP+DET+ADJ
2	B	1	6	صاير	صاير	ADJ
2	B	1	7	مجنون	مجنون	ADJ
2	B	1	8	تويتر	تويتر	NOUN
2	B	1	9	يا	يا	PART
2	B	1	10	شاغل	شاغل	NOUN
2	B	1	11	بالي	بال+ي	NOUN+PRON
2	B	1	12	راسي	راس+ي	NOUN+PRON
2	B	1	13	بي	بي	PROG_PART
2	B	1	14	هالتلفون	ه+ال+تلفون	PRON+DET+NOUN
2	B	1	15	#AKpoems	#AKpoems	HASH
2	B	1	16	EOS	EOS	EOS
3	B	2	1	@Nadahalawi	@Nadahalawi	MENTION
3	B	2	2	لا	لا	PART
3	B	2	3	خلص	خلص	NOUN
3	B	2	4	بنحكيلو	ب+نحكي+ل+و	FUT_PART+V+PREP+PRON
3	B	2	5	هادي	هادي	PRON
3	B	2	6	ألعاب	ألعاب	NOUN
3	B	2	7	نارية	ناري+ة	ADJ+NSUFF
3	B	2	8	فرحانين	فرحان+ين	ADJ+NSUFF
3	B	2	9	فيك	في+ك	PREP+PRON
3	B	2	10	0	0	PUNC
3	B	2	11	0	0	PUNC
3	B	2	12	!	!	PUNC
3	B	2	13	!	!	PUNC
3	B	2	14	EOS	EOS	EOS
1	B	3	1	طالعوا	طالع+وا	V+PRON
1	B	3	2	بس	بس	ADV
1	B	3	3	شوفوا	شوف+وا	V+PRON
1	B	3	4	الجمال	ال+جمال	DET+NOUN
1	B	3	5	بالله	ب+الله	PREP+NOUN
1	B	3	6	بالله	ب+الله	PREP+NOUN
1	B	3	7	فيه	فيه	ADV
1	B	3	8	احد	احد	NOUN
1	B	3	9	يتجرء	يتجرء	V
1	B	3	10	يزعلها	يزعل+ها	V+PRON
1	B	3	11	بكلمه	ب+كلم+ه	PREP+NOUN+NSUFF
1	B	3	12	او	او	CONJ
1	B	3	13	ينتقدها	ينتقد+ها	V+PRON
1	B	3	14	(	(	PUNC
1	B	3	15	مجنونه	مجنون+ه	ADJ+NSUFF
1	B	3	16	انا	انا	PRON
1	B	3	17	في	في	PREP
1	B	3	18	حبها	حب+ها	NOUN+PRON
1	B	3	19	)	)	PUNC
1	B	3	20	@najwakaram	@najwakaram	MENTION
1	B	3	21	http://t.co/8Mj3TU1ARn	http://t.co/8Mj3TU1ARn	URL
1	B	3	22	EOS	EOS	EOS
4	B	4	1	#كيف_تغتال_زوجتك	#كيف_تغتال_زوجتك	HASH
4	B	4	2	قلها	قل+ها	V+PRON
4	B	4	3	شوفي	شوف+ي	V+PRON
4	B	4	4	لي	ل+ي	PREP+PRON
4	B	4	5	السيارة	ال+سيار+ة	DET+NOUN+NSUFF
4	B	4	6	من	من	PREP
4	B	4	7	ورا	ورا	NOUN
4	B	4	8	ولما	و+لما	CONJ+PART
4	B	4	9	تنزل	تنزل	V
4	B	4	10	ارجع	ارجع	V
4	B	4	11	عليها	علي+ها	PREP+PRON
4	B	4	12	وادعسها	و+ادعس+ها	CONJ+V+PRON
4	B	4	13	EOS	EOS	EOS
5	A	5	1	صباح	صباح	NOUN
5	A	5	2	الخير	ال+خير	DET+NOUN
5	A	5	3	والحمدالله	و+ال+حمدالله	CONJ+DET+NOUN
5	A	5	4	عالسلامة	ع+ال+سلام+ة	PREP+DET+NOUN+NSUFF
5	A	5	5	لالكل	ل+ال+كل	PREP+DET+NOUN
5	A	5	6	0	0	PUNC
5	A	5	7	0	0	PUNC
5	A	5	8	0	0	PUNC
5	A	5	9	بموضوع	ب+موضوع	PREP+NOUN
5	A	5	10	التفجيرات	ال+تفجير+ات	DET+NOUN+NSUFF
5	A	5	11	فادي	فادي	NOUN
5	A	5	12	بيحب	ب+يحب	PROG_PART+V
5	A	5	13	انو	ان+و	PART+PRON
5	A	5	14	الصحافيين	ال+صحافي+ين	DET+NOUN+NSUFF
5	A	5	15	يظهروا	يظهر+وا	V+PRON
5	A	5	16	الحقيقة	ال+حقيق+ة	DET+NOUN+NSUFF
5	A	5	17	متل	متل	NOUN
5	A	5	18	ما	ما	PART
5	A	5	19	هي	هي	PRON
5	A	5	20	لأنو	ل+أن+و	PREP+PART+PRON
5	A	5	21	هيدا	هيدا	PRON
5	A	5	22	0	0	PUNC
5	A	5	23	0	0	PUNC
5	A	5	24	0	0	PUNC
5	A	5	25	http://t.co/VbYJPy2PLU	http://t.co/VbYJPy2PLU	URL
5	A	5	26	EOS	EOS	EOS
4	A	6	1	قال	قال	V
4	A	6	2	لي	ل+ي	PREP+PRON
4	A	6	3	جبتي	جب+ت+ي	V+PRON+PRON
4	A	6	4	هدية	هدي+ة	NOUN+NSUFF
4	A	6	5	لأمك	ل+أم+ك	PREP+NOUN+PRON
4	A	6	6	؟	؟	PUNC
4	A	6	7	-	-	PUNC
4	A	6	8	أكيد	أكيد	ADJ
4	A	6	9	كنت	كن+ت	V+PRON
4	A	6	10	بدي	بد+ي	NOUN+PRON
4	A	6	11	قلك	قل+ك	V+PRON
4	A	6	12	تجيبيلا	تجيب+ي+ل+ا	V+PRON+PREP+PRON
4	A	6	13	السنة	ال+سن+ة	DET+NOUN+NSUFF
4	A	6	14	شي	شي	NOUN
4	A	6	15	أكيد	أكيد	ADJ
4	A	6	16	ما	ما	PART
4	A	6	17	عندا	عند+ا	NOUN+PRON
4	A	6	18	منو	من+و	PREP+PRON
4	A	6	19	-	-	PUNC
4	A	6	20	شو	شو	PART
4	A	6	21	؟	؟	PUNC
4	A	6	22	*	*	PUNC
4	A	6	23	ظبط	ظبط	V
4	A	6	24	قعدتو	قعد+ت+و	NOUN+NSUFF+PRON
4	A	6	25	و	و	CONJ
4	A	6	26	ضحك	ضحك	V
4	A	6	27	قبل	قبل	NOUN
4	A	6	28	ما	ما	PART
4	A	6	29	يقول	يقول	V
4	A	6	30	*	*	PUNC
4	A	6	31	صهررررر	صهررررر	NOUN
4	A	6	32	Loool	Loool	FOREIGN
4	A	6	33	EOS	EOS	EOS
4	A	7	1	في	في	ADV
4	A	7	2	ناس	ناس	NOUN
4	A	7	3	وظيفتها	وظيف+ت+ها	NOUN+NSUFF+PRON
4	A	7	4	في	في	PREP
4	A	7	5	الحياة	ال+حيا+ة	DET+NOUN+NSUFF
4	A	7	6	سد	سد	NOUN
4	A	7	7	النفس	ال+نفس	DET+NOUN
4	A	7	8	o_O	o_O	EMOT
4	A	7	9	أيوااااااه	أيوااااااه	PART
4	A	7	10	بالزبط	ب+ال+زبط	PREP+DET+NOUN
4	A	7	11	متل	متل	NOUN
4	A	7	12	إلي	إلي	PART
4	A	7	13	خطر	خطر	V
4	A	7	14	ع	ع	PREP
4	A	7	15	بالك	بال+ك	NOUN+PRON
4	A	7	16	هلأ	هلأ	NOUN
4	A	7	17	:-\	:-\	EMOT
4	A	7	18	EOS	EOS	EOS
3	B	8	1	@joemaalouftv	@joemaalouftv	MENTION
3	B	8	2	@7kiJelis	@7kiJelis	MENTION
3	B	8	3	من	من	PREP
3	B	8	4	الضعف	ال+ضعف	DET+NOUN
3	B	8	5	منخلق	م+نخلق	PROG_PART+V
3	B	8	6	قوة	قو+ة	NOUN+NSUFF
3	B	8	7	وكلنا	و+كل+نا	CONJ+NOUN+PRON
3	B	8	8	لبنانيين	لبناني+ين	NOUN+NSUFF
3	B	8	9	سياسيين	سياسي+ين	ADJ+NSUFF
3	B	8	10	بلا	بلا	PART
3	B	8	11	تكلفة	تكلف+ة	NOUN+NSUFF
3	B	8	12	مالية	مالي+ة	ADJ+NSUFF
3	B	8	13	انو	ان+و	PART+PRON
3	B	8	14	تشارك	تشارك	V
3	B	8	15	بالمشروع	ب+ال+مشروع	PREP+DET+NOUN
3	B	8	16	بتامل	ب+تامل	PROG_PART+V
3	B	8	17	سياسيين	سياسي+ين	NOUN+NSUFF
3	B	8	18	يتواضعه	يتواضع+ه	V+PRON
3	B	8	19	وينزلو	و+ينزل+و	CONJ+V+PRON
3	B	8	20	عن	عن	PREP
3	B	8	21	كراسيهن	كراسي+هن	NOUN+PRON
3	B	8	22	EOS	EOS	EOS
3	A	9	1	تحية	تحي+ة	NOUN+NSUFF
3	A	9	2	لجمهور	ل+جمهور	PREP+NOUN
3	A	9	3	١٤	١٤	NUM
3	A	9	4	آذار	آذار	NOUN
3	A	9	5	يللي	يللي	PART
3	A	9	6	عم	عم	PART
3	A	9	7	بيعاني	ب+يعاني	PROG_PART+V
3	A	9	8	مرتين	مر+ت+ين	NOUN+NSUFF+NSUFF
3	A	9	9	:	:	PUNC
3	A	9	10	مرة	مر+ة	NOUN+NSUFF
3	A	9	11	من	من	PREP
3	A	9	12	تزريك	تزريك	NOUN
3	A	9	13	اللبنانيين	ال+لبناني+ين	DET+NOUN+NSUFF
3	A	9	14	على	على	PREP
3	A	9	15	مهرجانه	مهرجان+ه	NOUN+NSUFF
3	A	9	16	ومرة	و+مر+ة	CONJ+NOUN+NSUFF
3	A	9	17	تانية	تاني+ة	ADJ+NSUFF
3	A	9	18	من	من	PREP
3	A	9	19	مستوى	مستوى	NOUN
3	A	9	20	كلمات	كلم+ات	NOUN+NSUFF
3	A	9	21	قياداته	قياد+ات+ه	NOUN+NSUFF+NSUFF
3	A	9	22	سامحونا	سامح+و+نا	V+PRON+PRON
3	A	9	23	0	0	PUNC
3	A	9	24	EOS	EOS	EOS
2	A	10	1	وقت	وقت	NOUN
2	A	10	2	تقرا	تقرا	V
2	A	10	3	كومنت	كومنت	NOUN
2	A	10	4	شخص	شخص	NOUN
2	A	10	5	عالفيسبوك	ع+ال+فيسبوك	PREP+DET+NOUN
2	A	10	6	و	و	CONJ
2	A	10	7	هو	هو	PRON
2	A	10	8	عم	عم	PART
2	A	10	9	يبيض	يبيض	V
2	A	10	10	طناجر	طناجر	NOUN
2	A	10	11	وانت	و+انت	CONJ+PRON
2	A	10	12	بتعرفو	ب+تعرف+و	PROG_PART+V+PRON
2	A	10	13	بالحياة	ب+ال+حيا+ة	PREP+DET+NOUN+NSUFF
2	A	10	14	العادية	ال+عادي+ة	DET+ADJ+NSUFF
2	A	10	15	تماما	تمام+ا	NOUN+CASE
2	A	10	16	مش	مش	PART
2	A	10	17	هيك	هيك	ADV
2	A	10	18	يو	يو	PRON
2	A	10	19	فيل	فيل	V
2	A	10	20	لايك	لايك	NOUN
2	A	10	21	:	:	PUNC
2	A	10	22	وظفك	وظفك	NOUN
2	A	10	23	؟	؟	PUNC
2	A	10	24	؟	؟	PUNC
2	A	10	25	!	!	PUNC
2	A	10	26	!	!	PUNC
2	A	10	27	http://t.co/tANWbzvaoq	http://t.co/tANWbzvaoq	URL
2	A	10	28	EOS	EOS	EOS
5	A	11	1	انو	ان+و	PART+PRON
5	A	11	2	هالمسلحين	ه+ال+مسلح+ين	PRON+DET+NOUN+NSUFF
5	A	11	3	بينزلو	ب+ينزل+و	PROG_PART+V+PREP
5	A	11	4	على	على	PREP
5	A	11	5	الشوارع	ال+شوارع	DET+NOUN
5	A	11	6	وما	و+ما	CONJ+PART
5	A	11	7	حدا	حدا	NOUN
5	A	11	8	بيعرف	ب+يعرف	PROG_PART+V
5	A	11	9	مين	مين	PART
5	A	11	10	هني	هني	PRON
5	A	11	11	وبتولع	و+ب+تولع	CONJ+PROG_PART+V
5	A	11	12	الحرب	ال+حرب	DET+NOUN
5	A	11	13	وبيروح	و+ب+يروح	CONJ+PROG_PART+V
5	A	11	14	قتلى	قتلى	NOUN
